S,District,Division,Max_Temp,Min_Temp,Avg_Temp,Humidity,Rainfall,Rainfall_Lag_7,Rainfall_Lag_14,Rainfall_Lag_21,Rainfall_Lag_30,Temp_Lag_7,Humidity_Lag_7,Humidity_Lag_14,Humidity_Lag_21,Humidity_Lag_30,Dengue_Lag_7,Population_Density,Urban_Index,Dengue_case
5/14/2025,Dhaka,Dhaka,29.95,20.31,25.13,75.88,14.38,72.65,14.77,5.38,9.43,29.03,73.4,73.24,78.84,68.65,332,1697.69,0.23,10
5/15/2025,Dhaka,Dhaka,34.01,28.17,31.09,71.33,14.08,79.54,5.07,9.26,10.04,28.12,73.08,75.67,77.74,78.12,328,1697.69,0.23,18
5/16/2025,Dhaka,Dhaka,26.56,21.22,23.89,70.37,7.94,85.4,6.42,7.42,9.31,28.29,73.4,78.94,74.69,67.85,329,1697.69,0.23,12
5/17/2025,Dhaka,Dhaka,26.83,20.36,23.6,73.75,12.26,84.59,9.48,5.24,5.04,27.98,73.76,73.91,65.57,69.75,319,1697.69,0.23,12
5/18/2025,Dhaka,Dhaka,26.67,17.34,22.01,70.76,7.55,87.87,8.51,14.5,5.54,27.46,73.55,68.28,76.33,70.25,309,1697.69,0.23,22
5/19/2025,Dhaka,Dhaka,25.54,18.32,21.93,66.77,13.87,83.89,5.18,12.96,7.67,26.61,73.42,72.68,75.94,66.03,318,1697.69,0.23,11
5/20/2025,Dhaka,Dhaka,34.41,26.73,30.57,74.88,6.61,84.32,10.73,14.57,13.55,25.81,72.63,73.42,67.73,78.78,304,1697.69,0.23,36
5/21/2025,Dhaka,Dhaka,26.96,19.64,23.3,73.68,10.62,76.69,7.49,14.77,14.63,25.46,71.96,78.12,73.24,76.43,289,1697.69,0.23,9
5/22/2025,Dhaka,Dhaka,32.51,27.03,29.77,68.58,14.85,72.93,8.21,5.07,7.27,25.2,71.65,69.1,75.67,66.41,290,1697.69,0.23,7
5/23/2025,Dhaka,Dhaka,25.75,18.1,21.93,76.41,10.17,73.71,8.75,6.42,5.38,25.01,71.26,67.83,78.94,78.84,291,1697.69,0.23,7
5/24/2025,Dhaka,Dhaka,33.24,24.34,28.79,75.09,9.08,75.94,8.98,9.48,9.26,24.73,72.12,75.24,73.91,77.74,286,1697.69,0.23,17
5/25/2025,Dhaka,Dhaka,35.68,25.99,30.84,75.25,11.4,72.76,11.53,8.51,7.42,25.47,72.31,71.64,68.28,74.69,296,1697.69,0.23,2
5/26/2025,Dhaka,Dhaka,30.38,22.16,26.27,70.18,8.27,76.6,13.45,5.18,5.24,26.73,72.95,72.32,72.68,65.57,289,1697.69,0.23,11
5/27/2025,Dhaka,Dhaka,32.62,26.1,29.36,77.24,11.33,71,14.24,10.73,14.5,27.35,73.44,79.56,73.42,76.33,302,1697.69,0.23,19
5/28/2025,Dhaka,Dhaka,32.86,24.03,28.44,79.84,12.16,75.72,14.38,7.49,12.96,27.18,73.78,75.88,78.12,75.94,306,1697.69,0.23,28
5/29/2025,Dhaka,Dhaka,30.2,23.72,26.96,66.24,9.99,77.26,14.08,8.21,14.57,27.91,74.66,71.33,69.1,67.73,314,1697.69,0.23,17
5/30/2025,Dhaka,Dhaka,33.97,25.89,29.93,65.78,5.24,72.4,7.94,8.75,14.77,27.51,74.32,70.37,67.83,73.24,324,1697.69,0.23,0
5/31/2025,Dhaka,Dhaka,33.27,25.32,29.29,78.03,5.31,67.47,12.26,8.98,5.07,28.66,72.8,73.75,75.24,75.67,341,1697.69,0.23,13
6/1/2025,Dhaka,Dhaka,36.44,26.97,31.71,81.79,24.54,63.7,7.55,11.53,6.42,28.73,73.22,70.76,71.64,78.94,349,1697.69,0.23,16
6/2/2025,Dhaka,Dhaka,29.54,21.19,25.37,86.5,14.23,76.84,13.87,13.45,9.48,28.85,74.16,66.77,72.32,73.91,382,1697.69,0.23,17
6/3/2025,Dhaka,Dhaka,27.84,20.79,24.31,88.48,25.22,82.8,6.61,14.24,8.51,28.72,76.49,74.88,79.56,68.28,396,1697.69,0.23,18
6/4/2025,Dhaka,Dhaka,25.99,20.64,23.32,84.94,17.06,96.69,10.62,14.38,5.18,28,78.1,73.68,75.88,72.68,448,1697.69,0.23,13
6/5/2025,Dhaka,Dhaka,36.26,30.17,33.21,85.69,27.55,101.59,14.85,14.08,10.73,27.27,78.82,68.58,71.33,73.42,477,1697.69,0.23,6
6/6/2025,Dhaka,Dhaka,31.29,26.1,28.7,85.56,22.19,119.14,10.17,7.94,7.49,28.16,81.6,76.41,70.37,78.12,514,1697.69,0.23,0
6/7/2025,Dhaka,Dhaka,25.4,15.81,20.61,87.08,29.44,136.1,9.08,12.26,8.21,27.99,84.43,75.09,73.75,69.1,534,1697.69,0.23,11
6/8/2025,Dhaka,Dhaka,31.61,24.46,28.03,87.94,39.22,160.24,11.4,7.55,8.75,26.75,85.72,75.25,70.76,67.83,548,1697.69,0.23,10
